iter	Passed	Remaining
644	1834	1009
645	1848	1012
646	1849	1008
647	1863	1012
648	1864	1008
649	1865	1004
650	1866	1000
651	1867	996
652	1869	993
653	1870	989
654	1871	985
655	1879	985
656	1880	981
657	1881	977
658	1882	974
659	1894	975
660	1909	979
661	1910	975
662	1925	978
663	1926	974
664	1940	977
665	1941	973
666	1942	969
667	1955	971
668	1956	968
669	1957	964
670	1959	960
671	1960	956
672	1961	953
673	1962	949
674	1963	945
675	1965	941
676	1966	938
677	1967	934
678	1968	930
679	1969	927
680	1971	923
681	1985	925
682	1987	922
683	2001	924
684	2002	920
685	2003	917
686	2004	913
687	2005	909
688	2006	905
689	2016	905
690	2017	902
691	2018	898
692	2019	894
693	2021	891
694	2022	887
695	2023	883
696	2024	880
697	2025	876
698	2027	872
699	2028	869
700	2029	865
701	2030	862
702	2047	865
703	2049	861
704	2050	857
705	2051	854
706	2053	850
707	2054	847
708	2055	843
709	2057	840
710	2058	836
711	2060	833
712	2061	829
713	2062	826
714	2064	822
715	2065	819
716	2067	815
717	2068	812
718	2069	808
719	2070	805
720	2071	801
721	2073	798
722	2074	794
723	2075	791
724	2076	787
725	2077	784
726	2078	780
727	2095	782
728	2096	779
729	2098	776
730	2109	776
731	2110	772
732	2111	769
733	2125	770
734	2141	771
735	2142	768
736	2143	764
737	2144	761
738	2145	757
739	2146	754
740	2147	750
741	2148	747
742	2150	743
743	2151	740
744	2152	736
745	2153	733
746	2154	729
747	2155	726
748	2157	722
749	2158	719
750	2159	715
751	2159	712
752	2160	708
753	2162	705
754	2163	701
755	2164	698
756	2165	695
757	2166	691
758	2167	688
759	2171	685
760	2172	682
761	2173	678
762	2174	675
763	2175	672
764	2176	668
765	2177	665
766	2179	661
767	2187	660
768	2188	657
769	2189	653
770	2202	654
771	2203	650
772	2217	651
773	2218	647
774	2219	644
775	2220	640
776	2221	637
777	2222	634
778	2223	630
779	2224	627
780	2232	626
781	2233	622
782	2235	619
783	2247	619
784	2248	615
785	2262	615
786	2278	616
787	2279	613
788	2280	609
789	2292	609
790	2294	606
791	2307	606
792	2309	602
793	2310	599
794	2311	595
795	2312	592
796	2313	589
797	2314	585
798	2315	582
799	2316	579
800	2317	575
801	2319	572
802	2320	569
803	2321	565
804	2322	562
805	2324	559
806	2339	559
807	2341	556
808	2342	552
809	2343	549
810	2344	546
811	2345	543
812	2346	539
813	2347	536
814	2349	533
815	2350	530
816	2351	526
817	2353	523
818	2369	523
819	2370	520
820	2384	519
821	2385	516
822	2387	513
823	2388	510
824	2400	509
825	2401	505
826	2403	502
827	2404	499
828	2405	496
829	2415	494
830	2416	491
831	2418	488
832	2419	484
833	2420	481
834	2421	478
835	2422	475
836	2423	471
837	2424	468
838	2425	465
839	2431	463
840	2432	459
841	2433	456
842	2435	453
843	2436	450
844	2437	447
845	2438	443
846	2440	440
847	2441	437
848	2442	434
849	2443	431
850	2444	428
851	2446	424
852	2461	424
853	2477	423
854	2478	420
855	2480	417
856	2481	414
857	2482	410
858	2483	407
859	2484	404
860	2486	401
861	2487	398
862	2488	395
863	2492	392
864	2493	389
865	2494	386
866	2508	384
867	2524	383
868	2526	380
869	2527	377
870	2540	376
871	2541	373
872	2543	369
873	2544	366
874	2546	363
875	2547	360
876	2548	357
877	2550	354
878	2551	351
879	2555	348
880	2556	345
881	2557	342
882	2559	339
883	2560	335
884	2561	332
885	2562	329
886	2563	326
887	2564	323
888	2566	320
889	2567	317
890	2568	314
891	2569	311
892	2570	308
893	2572	304
894	2573	301
895	2574	298
896	2586	296
897	2602	295
898	2603	292
899	2604	289
900	2605	286
901	2607	283
902	2608	280
903	2609	277
904	2618	274
905	2633	273
906	2634	270
907	2636	267
908	2637	264
909	2638	260
910	2640	257
911	2641	254
912	2642	251
913	2643	248
914	2644	245
915	2646	242
916	2647	239
917	2664	238
918	2666	234
919	2667	231
920	2668	228
921	2669	225
922	2670	222
923	2680	220
924	2696	218
925	2697	215
926	2698	212
927	2699	209
928	2701	206
929	2711	204
930	2712	201
931	2713	198
932	2714	194
933	2716	191
934	2717	188
935	2718	185
936	2727	183
937	2728	180
938	2729	177
939	2743	175
940	2744	172
941	2745	169
942	2746	166
943	2748	163
944	2749	160
945	2750	156
946	2751	153
947	2759	151
948	2761	148
949	2762	145
950	2763	142
951	2774	139
952	2776	136
953	2777	133
954	2778	130
955	2779	127
956	2780	124
957	2781	121
958	2782	118
959	2784	116
960	2785	113
961	2786	110
962	2787	107
963	2789	104
964	2790	101
965	2791	98
966	2792	95
967	2793	92
968	2794	89
969	2796	86
970	2797	83
971	2805	80
972	2806	77
973	2807	74
974	2808	72
975	2809	69
976	2821	66
977	2822	63
978	2824	60
979	2825	57
980	2826	54
981	2836	51
982	2837	49
983	2838	46
984	2839	43
985	2851	40
986	2852	37
987	2854	34
988	2866	31
989	2867	28
990	2869	26
991	2870	23
992	2871	20
993	2873	17
994	2874	14
995	2875	11
996	2881	8
997	2882	5
998	2883	2
999	2885	0
