iter	Logloss
0	0.6871925952
1	0.6819871925
2	0.6768448499
3	0.6710442457
4	0.6656162312
5	0.6601557405
6	0.654470087
7	0.6492293574
8	0.6438089883
9	0.6390490546
10	0.634688407
11	0.6297262046
12	0.6249944367
13	0.6204009947
14	0.6160842814
15	0.6112839913
16	0.6072430734
17	0.6029725901
18	0.5982588155
19	0.5941459195
20	0.5903116028
21	0.586817765
22	0.5836829756
23	0.5803773587
24	0.5769041066
25	0.5735679742
26	0.5702848344
27	0.566809755
28	0.5631195113
29	0.5596309339
30	0.5566613491
31	0.5539765712
32	0.5508056609
33	0.5473889584
34	0.5441851989
35	0.5411735419
36	0.538090274
37	0.5355646489
38	0.5330147277
39	0.5303369886
40	0.5282169731
41	0.5254350819
42	0.5229973858
43	0.5209841313
44	0.5183133817
45	0.5157536445
46	0.5135050526
47	0.511012479
48	0.5088773362
49	0.5064761317
50	0.5041928632
51	0.5023838324
52	0.5003085142
53	0.4987277363
54	0.4963071612
55	0.4942737415
56	0.4918395046
57	0.4899268901
58	0.4881307677
59	0.4863475289
60	0.4843241324
61	0.4826141306
62	0.4810640524
63	0.4791767972
64	0.4774028001
65	0.4757695634
66	0.4748344086
67	0.4734774805
68	0.4717351816
69	0.469998367
70	0.4684570436
71	0.4667479771
72	0.4653734619
73	0.4640702576
74	0.4627172849
75	0.46145216
76	0.459903999
77	0.4586532239
78	0.4573461578
79	0.4557579599
80	0.4546285361
81	0.4532447853
82	0.4519776068
83	0.4507354703
84	0.449494043
85	0.4480610307
86	0.4467413605
87	0.4453198618
88	0.4439794889
89	0.4431708904
90	0.4422296931
91	0.4412076695
92	0.4401406441
93	0.4393115016
94	0.4384470889
95	0.4377181217
96	0.4365246385
97	0.4354586662
98	0.4343070041
99	0.4332729156
100	0.4321887501
101	0.4311733592
102	0.4303044505
103	0.4291612912
104	0.427907565
105	0.4268933076
106	0.4261555595
107	0.4252586492
108	0.4247005077
109	0.4239165287
110	0.4230256823
111	0.4221682353
112	0.4215701011
113	0.4205089002
114	0.4197423911
115	0.4189309908
116	0.418119532
117	0.4171734038
118	0.4166150265
119	0.4155705896
120	0.4149806884
121	0.414059054
122	0.4133441744
123	0.4131383622
124	0.4123710887
125	0.4117944267
126	0.4110036036
127	0.4102808537
128	0.4094736299
129	0.408897883
130	0.4079041762
131	0.4072209689
132	0.4069676882
133	0.4065061894
134	0.4061417519
135	0.4054119299
136	0.4047116807
137	0.404011513
138	0.4035505697
139	0.4027058784
140	0.4018237213
141	0.4013715829
142	0.4012782538
143	0.4005816123
144	0.4001069837
145	0.399544235
146	0.3989422561
147	0.3985212843
148	0.398353414
149	0.3979888178
150	0.3976212332
151	0.3971025781
152	0.3966337475
153	0.3959632449
154	0.3953923807
155	0.3948501684
156	0.394094775
157	0.3936672598
158	0.3932893524
159	0.392617009
160	0.3923130557
161	0.391747911
162	0.3913223627
163	0.3909497083
164	0.3904141775
165	0.3901068903
166	0.3897686745
167	0.3893852126
168	0.3888256656
169	0.3884391985
170	0.3880570654
171	0.3875769033
172	0.3872199824
173	0.3867432962
174	0.3864740894
175	0.3860338561
176	0.3857694731
177	0.3851752646
178	0.3848119788
179	0.3843554233
180	0.3839722771
181	0.3836762041
182	0.3831361867
183	0.3826533133
184	0.3823076475
185	0.3819326452
186	0.3815879314
187	0.3814918022
188	0.3810399121
189	0.3806744306
190	0.3802865242
191	0.3802188351
192	0.3797125835
193	0.379318821
194	0.3790876381
195	0.3785382905
196	0.378190612
197	0.3776491181
198	0.377012836
199	0.376638572
200	0.3762098787
201	0.3758604836
202	0.3753821764
203	0.3751649018
204	0.3750223262
205	0.3748075392
206	0.3745333696
207	0.3741605951
208	0.3737439915
209	0.3736223351
210	0.3733034421
211	0.3729601604
212	0.3726630521
213	0.3725616247
214	0.3723225642
215	0.3720770758
216	0.3718318262
217	0.3716562077
218	0.3713739654
219	0.3711325127
220	0.3709499426
221	0.3706589488
222	0.3703476101
223	0.3701416101
224	0.369927042
225	0.3697178404
226	0.3693463314
227	0.3690339469
228	0.368698748
229	0.3683476459
230	0.3680677124
231	0.3676517846
232	0.3675953526
233	0.3673894788
234	0.3670115435
235	0.3668785759
236	0.366451252
237	0.3659793168
238	0.365761478
239	0.3652847155
240	0.3650410221
241	0.3648071945
242	0.3645252284
243	0.3642290018
244	0.3641066727
245	0.3638275058
246	0.3636335856
247	0.3634466266
248	0.3631652823
249	0.3627343617
250	0.3623696016
251	0.3622402775
252	0.3620539566
253	0.3618603004
254	0.3615516451
255	0.3612500822
256	0.3610843469
257	0.3609033741
258	0.360621892
259	0.3603455016
260	0.360073459
261	0.3598580098
262	0.3596927853
263	0.3593931796
264	0.359175288
265	0.3590251119
266	0.358696309
267	0.3585883819
268	0.3584431692
269	0.3582474996
270	0.3579188902
271	0.3576777298
272	0.3572049359
273	0.3571870392
274	0.3570345778
275	0.3568688414
276	0.3567687797
277	0.3564884615
278	0.356276357
279	0.3560162478
280	0.3557023487
281	0.3553513711
282	0.355155024
283	0.3548930961
284	0.3547126673
285	0.3544389961
286	0.3540628125
287	0.3537921063
288	0.3537419131
289	0.3535129353
290	0.3532437549
291	0.3529576097
292	0.3527729228
293	0.3525091299
294	0.3523717829
295	0.3522060507
296	0.3519726525
297	0.3518440742
298	0.3516833862
299	0.351565059
300	0.3513273851
301	0.3511083379
302	0.3509032207
303	0.3507823086
304	0.350396678
305	0.3502148665
306	0.3500206603
307	0.3496155049
308	0.3494138033
309	0.3491807391
310	0.3489226527
311	0.3487681485
312	0.348635416
313	0.3484411173
314	0.3482112118
315	0.3480837965
316	0.3478505052
317	0.3476834653
318	0.3476435136
319	0.347617079
320	0.3473909033
321	0.3471801746
322	0.3470512055
323	0.3469830873
324	0.3468054563
325	0.3466669326
326	0.346299847
327	0.3461251068
328	0.3458955202
329	0.3458397252
330	0.3456007539
331	0.3454697873
332	0.3453073797
333	0.3452103302
334	0.345004562
335	0.3448073625
336	0.3446857422
337	0.344542191
338	0.3444609147
339	0.3443337764
340	0.344031255
341	0.3439426288
342	0.3437286062
343	0.3434606065
344	0.3431782498
345	0.3429512961
346	0.3428127541
347	0.3426123433
348	0.3425526523
349	0.3424106187
350	0.3423032598
351	0.3421473091
352	0.3420268911
353	0.3418781207
354	0.3417283955
355	0.3416093981
356	0.3414718717
357	0.3413281477
358	0.3411953722
359	0.3411088892
360	0.3408868803
361	0.340748614
362	0.3405077759
363	0.340309537
364	0.339966183
365	0.33982891
366	0.3395863654
367	0.3393994852
368	0.3391548105
369	0.3390622349
370	0.3389858018
371	0.3387971781
372	0.3387106753
373	0.3385857909
374	0.3383576149
375	0.3380740629
376	0.3380035831
377	0.3378140132
378	0.3375572581
379	0.3372801593
380	0.3370949108
381	0.337023705
382	0.3369341042
383	0.3367369035
384	0.3364635688
385	0.3362530454
386	0.3361342032
387	0.3359841371
388	0.335894852
389	0.3357271049
390	0.3355601716
391	0.3354616582
392	0.3352813227
393	0.3351950704
394	0.335102619
395	0.3349661258
396	0.3348823739
397	0.3347909684
398	0.3345528637
399	0.334436494
400	0.3342393388
401	0.3341097259
402	0.3340366769
403	0.3338842664
404	0.3337568506
405	0.3336433581
406	0.3334667841
407	0.3333742783
408	0.3331489316
409	0.3329263115
410	0.3328191101
411	0.3325940439
412	0.3325026466
413	0.3322468997
414	0.3321550732
415	0.3320871756
416	0.3319399108
417	0.3317980055
418	0.3316296915
419	0.3315104947
420	0.331283619
421	0.3311944045
422	0.3309979846
423	0.330899693
424	0.3308485662
425	0.330732113
426	0.3305707345
427	0.3303535685
428	0.3301784726
429	0.3301186205
430	0.329902601
431	0.329644273
432	0.3295298837
433	0.3292474397
434	0.3290774532
435	0.3288221521
436	0.3286167195
437	0.3284722728
438	0.3284037103
439	0.3282696587
440	0.3280429341
441	0.3278443332
442	0.3277268865
443	0.3276157598
444	0.3274115617
445	0.3273020362
446	0.3272149396
447	0.3270292035
448	0.3268543134
449	0.3267817246
450	0.3266685886
451	0.3265889641
452	0.3263959604
453	0.3261233846
454	0.3260395902
455	0.3259137319
456	0.3257605272
457	0.3257010699
458	0.3255003977
459	0.3254135049
460	0.3252821737
461	0.3250864311
462	0.3249420636
463	0.3247743833
464	0.3247205498
465	0.3246831913
466	0.324620393
467	0.3244290578
468	0.3242969417
469	0.3242437134
470	0.323965005
471	0.3237826694
472	0.3236140327
473	0.3234774775
474	0.3234185411
475	0.3233034122
476	0.3231490865
477	0.3228607757
478	0.3227654929
479	0.3225841614
480	0.3224722862
481	0.3223654961
482	0.3221988793
483	0.3218968913
484	0.3217781502
485	0.3216513896
486	0.3215675556
487	0.3214685391
488	0.3213458074
489	0.321279972
490	0.3211328366
491	0.3210110693
492	0.3209812225
493	0.3208278222
494	0.3207092764
495	0.3205091287
496	0.3204239515
497	0.3203641991
498	0.3202545124
499	0.3202134207
500	0.3201016638
501	0.320076051
502	0.3197982484
503	0.3197108142
504	0.3195521804
505	0.3193443547
506	0.3191939991
507	0.3191243654
508	0.3190174063
509	0.318801733
510	0.3187493415
511	0.3186020136
512	0.3185162938
513	0.3184866513
514	0.3183994184
515	0.3183239496
516	0.3181361608
517	0.3180087235
518	0.317856377
519	0.3177985695
520	0.3176773797
521	0.3174751714
522	0.3172271633
523	0.3171966822
524	0.3171115897
525	0.3170676436
526	0.3168382008
527	0.3167555336
528	0.3166678509
529	0.3165088212
530	0.3162850793
531	0.3161273676
532	0.3157961166
533	0.31560909
534	0.3154246328
535	0.3152861717
536	0.3151674758
537	0.3151179486
538	0.3150415692
539	0.314946365
540	0.3148584097
541	0.3146082012
542	0.3143467569
543	0.3141309363
544	0.3140442707
545	0.3139277584
546	0.3136231048
547	0.3134197104
548	0.3132994547
549	0.3132437313
550	0.3130650879
551	0.3129678505
552	0.3127435877
553	0.3126479061
554	0.3124753224
555	0.3123399361
556	0.3122502238
557	0.3120132629
558	0.3119985944
559	0.3118047772
560	0.3117198162
561	0.3116163984
562	0.3115131281
563	0.3112880496
564	0.3110692958
565	0.3109929895
566	0.310834702
567	0.3108242566
568	0.3106134466
569	0.3105974268
570	0.31046707
571	0.3103792517
572	0.3103532674
573	0.3102365033
574	0.3101333228
575	0.3100892763
576	0.3100074259
577	0.3099563414
578	0.3099226034
579	0.3098272189
580	0.3096744837
581	0.3094455968
582	0.3092373258
583	0.3089670841
584	0.3087449037
585	0.3086309054
586	0.3085118567
587	0.3084972676
588	0.3084352801
589	0.3084040875
590	0.3082949773
591	0.3080115994
592	0.3079315331
593	0.3078132756
594	0.3077192659
595	0.3076706693
596	0.3075685601
597	0.3074435598
598	0.3073712212
599	0.3070579149
600	0.3069930791
601	0.3068497474
602	0.306790449
603	0.3066556843
604	0.3065437692
605	0.306419315
606	0.3062661117
607	0.3060321957
608	0.305968213
609	0.3059036407
610	0.3058134548
611	0.3056058246
612	0.3054967324
613	0.3053770092
614	0.3052468693
615	0.3050527046
616	0.3049110262
617	0.3048397591
618	0.304750014
619	0.3046246123
620	0.3044589751
621	0.3043010386
622	0.3042122712
623	0.3041002783
624	0.3040480069
625	0.303616237
626	0.3034955124
627	0.3033722666
628	0.3032604662
629	0.3031263184
630	0.3030107827
631	0.3029240957
632	0.3028435575
633	0.3027757565
634	0.3025788945
635	0.3024816062
636	0.3023523876
637	0.3021566336
638	0.3019567863
639	0.3018103744
640	0.3017101988
641	0.3016467053
642	0.3016098891
643	0.3015266705
644	0.3014402974
645	0.3013541098
646	0.3013227686
647	0.3010454022
648	0.300883072
649	0.3007561269
650	0.3007120716
651	0.3006219912
652	0.3004393661
653	0.3003255061
654	0.3001874886
655	0.3001363548
656	0.3000394058
657	0.2999741603
658	0.2999105143
659	0.29981993
660	0.2996873559
661	0.299614303
662	0.2995064325
663	0.2993750362
664	0.2992091857
665	0.299187839
666	0.299154163
667	0.2990833486
668	0.2988334278
669	0.2987907808
670	0.298707307
671	0.2986175863
672	0.298428686
673	0.2983559141
674	0.2982879757
675	0.298089417
676	0.2979746668
677	0.2978997136
678	0.2977712638
679	0.297720725
680	0.2976169701
681	0.2976131275
682	0.2973639646
683	0.2972144206
684	0.2970106399
685	0.2969116623
686	0.2967769815
687	0.2966226961
688	0.2965143867
689	0.2963994275
690	0.2961628933
691	0.29607833
692	0.2959884991
693	0.2958200162
694	0.2957372802
695	0.2956802817
696	0.2956209625
697	0.2955171829
698	0.2953338009
699	0.295250996
700	0.2951518063
701	0.2950465934
702	0.2949096135
703	0.2947934904
704	0.2947718424
705	0.2946928465
706	0.2945520203
707	0.2945389891
708	0.2944912433
709	0.2944532784
710	0.2943162831
711	0.2941210068
712	0.2940224695
713	0.2939421129
714	0.2938600073
715	0.2937495214
716	0.293578313
717	0.2935301104
718	0.2934738602
719	0.2933189735
720	0.2931047387
721	0.2927952809
722	0.2926858184
723	0.2924911366
724	0.2923037263
725	0.2921675465
726	0.2920284467
727	0.2919088684
728	0.2918444959
729	0.2918189149
730	0.2917481836
731	0.2916111446
732	0.2915600727
733	0.2913368417
734	0.2912731308
735	0.2911390389
736	0.290962397
737	0.2906682732
738	0.2904255644
739	0.2903472938
740	0.2901944469
741	0.2900253412
742	0.2899869667
743	0.2898753741
744	0.2896946928
745	0.2895264515
746	0.2894697833
747	0.28939654
748	0.2891765604
749	0.2889952795
750	0.2889779935
751	0.28896647
752	0.2888149627
753	0.2887786535
754	0.288488258
755	0.2884370109
756	0.2882765199
757	0.2881771018
758	0.2880783982
759	0.2879906105
760	0.2879543413
761	0.287870676
762	0.287800789
763	0.2876390047
764	0.2875590995
765	0.287347598
766	0.2872651068
767	0.2871894689
768	0.287068317
769	0.2868568675
770	0.2867492195
771	0.2866440973
772	0.2864230281
773	0.2863534157
774	0.286183694
775	0.2861078356
776	0.286051944
777	0.28589679
778	0.2858142074
779	0.2857486804
780	0.2856668506
781	0.2855721481
782	0.2855190696
783	0.2854312936
784	0.2853673253
785	0.285157873
786	0.2849562016
787	0.2846665346
788	0.2844938354
789	0.2843785565
790	0.2843392062
791	0.2842843696
792	0.284134225
793	0.2840519649
794	0.2840115459
795	0.2839781121
796	0.2838713902
797	0.2837648534
798	0.2836343384
799	0.2836103118
800	0.2833517654
801	0.2831923239
802	0.282954792
803	0.2827380621
804	0.2826553687
805	0.2825277661
806	0.2824192652
807	0.2822432969
808	0.2822253286
809	0.2821258495
810	0.2819494327
811	0.2819060555
812	0.2817599222
813	0.2815800609
814	0.2814377881
815	0.2813936668
816	0.2812960021
817	0.2812778378
818	0.2812138471
819	0.281132305
820	0.2810988423
821	0.280930271
822	0.2808760731
823	0.2808004078
824	0.2806379285
825	0.2805024539
826	0.2804306083
827	0.2803615246
828	0.2801365919
829	0.2800750788
830	0.2799894913
831	0.2799111451
832	0.2798415937
833	0.2797839548
834	0.2797569575
835	0.2795962667
836	0.2794566992
837	0.2792975149
838	0.279211255
839	0.2791803062
840	0.2791627605
841	0.2790312928
842	0.278906862
843	0.2787794858
844	0.2786453926
845	0.2784654444
846	0.2783157994
847	0.2781002137
848	0.278043812
849	0.2779390168
850	0.2776637826
851	0.2776262486
852	0.2775345213
853	0.2774779138
854	0.2774276101
855	0.2773762075
856	0.2773047014
857	0.2770759678
858	0.2770264933
859	0.2769722537
860	0.2768611518
861	0.2767558451
862	0.276712799
863	0.2765686596
864	0.2764585498
865	0.2763978549
866	0.2763427431
867	0.2762223808
868	0.2760188434
869	0.2758678634
870	0.2756260015
871	0.2755575625
872	0.2754426084
873	0.2753145369
874	0.2752588897
875	0.2751961539
876	0.2751278693
877	0.2750707828
878	0.2750091275
879	0.2748152454
880	0.2747819124
881	0.2747043038
882	0.274576245
883	0.2744410511
884	0.2743314887
885	0.2742489142
886	0.274035943
887	0.2738429398
888	0.2736838638
889	0.273523366
890	0.2734066596
891	0.2732168792
892	0.273167654
893	0.2731123848
894	0.2728917269
895	0.2726846355
896	0.2726088871
897	0.2725401348
898	0.2724510306
899	0.2723786308
900	0.272288125
901	0.2721897136
902	0.2721590417
903	0.2719533524
904	0.2719102332
905	0.2716320491
906	0.2715393342
907	0.271257354
908	0.2710338602
909	0.2709751094
910	0.2709120143
911	0.2708555572
912	0.2707443177
913	0.2706749438
914	0.2706416274
915	0.2705284855
916	0.270437006
917	0.2703765975
918	0.2702436454
919	0.2702173055
920	0.2701241066
921	0.2700690503
922	0.269969659
923	0.2699075586
924	0.2697464139
925	0.269633102
926	0.2695259115
927	0.2694942117
928	0.2693706492
929	0.26935898
930	0.26923451
931	0.2691411002
932	0.2690704064
933	0.2690262811
934	0.268877004
935	0.2687864419
936	0.268711077
937	0.2685800595
938	0.2683704568
939	0.2682927678
940	0.2680706784
941	0.2680353655
942	0.2679252773
943	0.2678925859
944	0.2676954641
945	0.2676029145
946	0.2675707268
947	0.2674731551
948	0.2673714592
949	0.2673368247
950	0.267267899
951	0.2671466882
952	0.2671231232
953	0.2670446276
954	0.2669955454
955	0.2668184345
956	0.266560491
957	0.2665018561
958	0.2664328713
959	0.2663727362
960	0.26628215
961	0.2661037896
962	0.266059518
963	0.265955136
964	0.2658518138
965	0.2657918388
966	0.265696068
967	0.2656361854
968	0.2655361281
969	0.2653444857
970	0.2653274185
971	0.2651766967
972	0.2650537285
973	0.2649354659
974	0.2648373969
975	0.2646741917
976	0.2644699452
977	0.2643327118
978	0.2642380237
979	0.2641953579
980	0.2640789042
981	0.2640099405
982	0.2639836488
983	0.2638524082
984	0.2638016509
985	0.2637182964
986	0.2636428117
987	0.2635468549
988	0.2634431951
989	0.263378641
990	0.2630879846
991	0.2630255013
992	0.2629216157
993	0.2628925168
994	0.2627315591
995	0.2625951615
996	0.2625369937
997	0.2623837043
998	0.262317979
999	0.2621551194
